,marketing_score,competition_index,customer_satisfaction,purchasing_power_index,weather_condition,tech_event,5g_phase,store_traffic,public_transport,city,jPhone_Pro_revenue,Kaggle_Pixel_5_revenue,Planet_SX_revenue
2019-01-01,100.0,50.0,85.0,120.0,Bad,None,Pre-5G,0.02,Hub,Paris,122182.54,68709.2,36032.11
2019-01-02,100.09,50.52,85.0,120.09,Good,None,Pre-5G,1.08,Good,Paris,146473.79,73935.56,44180.21
2019-01-03,100.18,51.04,85.0,120.17,Moderate,None,Pre-5G,-0.24,Limited,Paris,129647.9,75375.54,41112.52
2019-01-04,100.27,51.56,85.0,120.26,Moderate,None,Pre-5G,-0.13,Poor,Paris,137621.01,85213.0,46222.99
2019-01-05,100.36,52.08,85.0,120.34,Bad,None,Pre-5G,0.06,Limited,Paris,194936.87,89281.49,38312.08
2019-01-06,100.45,52.59,85.01,120.43,Bad,None,Pre-5G,0.31,Good,Paris,159692.33,68666.87,46209.0
2019-01-07,100.54,53.09,85.01,120.52,Bad,None,Pre-5G,,Hub,Paris,133499.36,65346.84,35926.48
2019-01-08,100.72,53.58,85.01,120.6,Good,None,,-0.14,Limited,Paris,128878.93,76377.29,43472.31
2019-01-09,100.9,54.07,85.01,120.69,Moderate,None,Pre-5G,0.86,Poor,Paris,133131.07,79023.39,40956.04
2019-01-10,101.08,54.54,,120.77,Moderate,None,Pre-5G,0.46,Poor,Paris,160624.65,64721.87,37547.14
2019-01-11,101.26,55.01,85.01,120.86,Bad,None,,0.12,Good,Paris,123613.39,67129.73,41391.66
2019-01-12,101.44,55.46,85.01,120.94,Good,None,Pre-5G,0.12,Limited,Paris,176097.81,100754.17,
2019-01-13,101.62,55.9,85.01,121.03,Good,None,Pre-5G,0.54,Hub,Paris,,83758.28,
2019-01-14,101.8,56.32,85.01,121.11,Bad,None,Pre-5G,-0.22,Hub,Paris,129123.93,62586.14,40020.01
2019-01-15,101.98,57.21,85.02,121.19,Bad,None,Pre-5G,0.26,Hub,Paris,123180.86,73423.77,38832.44
2019-01-16,102.16,58.06,85.02,121.28,Bad,None,Pre-5G,0.99,Hub,Paris,144247.98,69561.53,42187.04
2019-01-17,102.33,58.87,85.02,121.36,Bad,None,Pre-5G,0.04,Poor,Paris,148749.76,64985.08,45676.89
2019-01-18,102.51,59.64,85.02,121.44,Moderate,None,Pre-5G,-0.15,Hub,Paris,166466.11,70991.68,41743.81
2019-01-19,102.68,60.37,85.02,121.52,Moderate,None,Pre-5G,1.7,Limited,Paris,160048.72,,43510.04
2019-01-20,102.86,61.04,85.02,121.61,Bad,None,Pre-5G,0.66,Hub,Paris,,72168.56,47420.35
2019-01-21,103.03,61.66,85.02,121.69,Moderate,None,Pre-5G,0.26,Hub,Paris,,68539.78,39136.15
2019-01-22,103.21,62.22,85.02,121.77,Bad,None,Pre-5G,0.61,Good,Paris,277262.66,,34374.42
2019-01-23,103.38,62.73,85.02,121.85,Bad,None,Pre-5G,0.74,Poor,Paris,122244.09,80666.22,40845.75
2019-01-24,103.55,63.17,85.03,121.93,Bad,None,Pre-5G,0.49,Poor,Paris,147215.2,76436.1,38797.77
2019-01-25,103.72,63.54,85.03,122.01,Moderate,None,Pre-5G,1.1,Hub,Paris,127026.59,73804.27,37291.07
2019-01-26,103.89,63.85,85.03,122.09,Moderate,,Pre-5G,0.28,Poor,Paris,181861.39,101127.56,
2019-01-27,104.06,64.1,85.03,122.16,Bad,None,Pre-5G,0.53,Hub,Paris,197084.49,82557.28,
2019-01-28,104.22,64.27,85.03,122.24,Moderate,None,Pre-5G,-0.19,Limited,Paris,126436.35,63285.87,42620.37
2019-01-29,104.39,64.38,85.03,122.32,Moderate,None,Pre-5G,0.47,Limited,Paris,126296.56,70055.97,38446.86
2019-01-30,,64.41,85.03,122.39,Bad,None,Pre-5G,-0.15,Hub,Paris,157096.09,84089.94,47104.96
2019-01-31,104.72,64.38,85.03,122.47,Moderate,None,Pre-5G,0.28,Hub,Paris,131734.15,79577.09,52269.4
2019-02-01,104.88,64.27,85.04,122.54,Bad,None,Pre-5G,1.8,Poor,Paris,144185.12,77497.67,47586.85
2019-02-02,105.04,64.1,85.04,122.62,Bad,None,Pre-5G,0.41,Limited,Paris,187338.94,102976.27,
2019-02-03,105.2,63.85,85.04,122.69,Good,None,Pre-5G,0.45,Good,Paris,180943.07,82639.54,63446.25
2019-02-04,,63.54,85.04,122.76,Good,None,Pre-5G,-0.1,Poor,Paris,153947.78,69053.65,52780.96
2019-02-05,105.51,63.17,85.04,122.83,Good,None,Pre-5G,0.09,Hub,Paris,167544.99,65742.09,45225.74
2019-02-06,105.67,62.73,85.05,122.9,Bad,None,Pre-5G,-0.52,Hub,Paris,158032.08,,96961.3
2019-02-07,105.82,,85.05,122.97,Bad,None,Pre-5G,0.03,Limited,Paris,156630.4,78070.23,81381.08
2019-02-08,105.97,61.66,85.05,123.04,Moderate,None,Pre-5G,0.19,Limited,Paris,163356.61,97892.19,77114.72
2019-02-09,106.12,61.04,85.05,123.11,Moderate,None,Pre-5G,-0.52,Poor,Paris,199248.55,98318.92,50742.09
2019-02-10,106.27,60.37,85.06,123.18,Bad,None,Pre-5G,0.58,Limited,Paris,179186.38,87133.23,61045.88
2019-02-11,106.41,59.64,85.06,123.24,Moderate,None,Pre-5G,0.61,Good,Paris,162257.07,78095.1,38276.96
2019-02-12,106.56,58.87,85.06,123.31,Bad,None,Pre-5G,-0.02,Good,Paris,137300.81,73776.46,42119.48
2019-02-13,106.7,58.06,85.06,123.37,Good,None,Pre-5G,1.58,Hub,Paris,173461.81,73728.73,50968.94
2019-02-14,106.84,57.21,85.06,123.44,Bad,None,Pre-5G,0.67,Hub,Paris,143749.82,101976.28,43821.93
2019-02-15,106.98,56.32,85.07,123.5,Moderate,None,Pre-5G,0.94,Good,Paris,175566.69,92889.91,48429.02
2019-02-16,107.12,55.4,85.07,123.56,Bad,None,Pre-5G,0.76,Good,Paris,174803.75,97109.85,43769.27
2019-02-17,107.25,54.45,85.07,123.62,Moderate,None,Pre-5G,-0.0,Good,Paris,,104857.35,42549.55
